sheet,key,row_idx,target_lang,status
TENNIS,ACE,2,Russian,OK
TENNIS,ACES,3,Russian,OK
TENNIS,BRIEFING,4,Russian,OK
TENNIS,BYE,5,Russian,OK
TENNIS,CAREER,6,Russian,OK
TENNIS,CAT_JUN,7,Russian,OK
TENNIS,CAT_PRO,8,Russian,OK
TENNIS,CAT_WC_JTLB,9,Russian,OK
TENNIS,CAT_WC_JTLG,10,Russian,OK
TENNIS,CAT_WC_MTL,11,Russian,OK
TENNIS,CAT_WC_WTL,12,Russian,OK
TENNIS,CIRCUIT,13,Russian,OK
TENNIS,CIRCUIT_4_LONG,17,Russian,OK
TENNIS,CIRCUIT_MINI,21,Russian,OK
TENNIS,COMMON_LOSS,22,Russian,OK
TENNIS,COMMON_RANK_1,23,Russian,OK
TENNIS,COMMON_RANK_2,24,Russian,OK
TENNIS,COMMON_RANK_3,25,Russian,OK
TENNIS,COMMON_RANK_4,26,Russian,OK
TENNIS,COMMON_WIN,27,Russian,OK
TENNIS,CONFRONTATIONS,28,Russian,OK
TENNIS,DBL_AFFINITY,29,Russian,OK
TENNIS,DRAW_TITLE,30,Russian,OK
TENNIS,DROPSHOT,31,Russian,OK
TENNIS,GAME_RETURN,38,Russian,OK
TENNIS,GAME_SERVE,39,Russian,OK
TENNIS,GAMES,40,Russian,OK
TENNIS,GROUP_STAGE,41,Russian,OK
TENNIS,GROUP_STAGE_PER_LOSS,42,Russian,OK
TENNIS,GROUP_STAGE_PER_WIN,43,Russian,OK
TENNIS,H2H_RESULT,44,Russian,OK
TENNIS,H2H_WINNER,45,Russian,OK
TENNIS,INFO_TNMT_PM_BREAKDOWN_TITLE,46,Russian,OK
TENNIS,INFO_TNMT_PTS_BREAKDOWN_QBONUS,47,Russian,OK
TENNIS,INFO_TNMT_PTS_BREAKDOWN_TITLE,48,Russian,OK
TENNIS,JO,49,Russian,OK
TENNIS,JO_MINI,50,Russian,OK
TENNIS,MATCH,51,Russian,OK
TENNIS,MATCH_DOUBLE,52,Russian,OK
TENNIS,MATCH_SINGLE,53,Russian,OK
TENNIS,MATCHES,54,Russian,OK
TENNIS,PERIOD_01,55,Russian,OK
TENNIS,PERIOD_01_INFO,56,Russian,OK
TENNIS,PERIOD_02,57,Russian,OK
TENNIS,PERIOD_02_INFO,58,Russian,OK
TENNIS,PERIOD_03,59,Russian,OK
TENNIS,PERIOD_03_INFO,60,Russian,OK
TENNIS,PERIOD_04,61,Russian,OK
TENNIS,PERIOD_04_INFO,62,Russian,OK
TENNIS,PERIOD_05,63,Russian,OK
TENNIS,PERIOD_05_INFO,64,Russian,OK
TENNIS,PERIOD_06,65,Russian,OK
TENNIS,PERIOD_06_INFO,66,Russian,OK
TENNIS,PERIOD_INFO,67,Russian,OK
TENNIS,PLAYING_STYLE_1_DESC_F,68,Russian,OK
TENNIS,PLAYING_STYLE_1_DESC_M,69,Russian,OK
TENNIS,PLAYING_STYLE_1_F,70,Russian,OK
TENNIS,PLAYING_STYLE_1_M,71,Russian,OK
TENNIS,PLAYING_STYLE_2_DESC_F,72,Russian,OK
TENNIS,PLAYING_STYLE_2_DESC_M,73,Russian,OK
TENNIS,PLAYING_STYLE_2_F,74,Russian,OK
TENNIS,PLAYING_STYLE_2_M,75,Russian,OK
TENNIS,PLAYING_STYLE_3_DESC_F,76,Russian,OK
TENNIS,PLAYING_STYLE_3_DESC_M,77,Russian,OK
TENNIS,PLAYING_STYLE_3_F,78,Russian,OK
TENNIS,PLAYING_STYLE_3_M,79,Russian,OK
TENNIS,PLAYING_STYLE_4_DESC_F,80,Russian,OK
TENNIS,PLAYING_STYLE_4_DESC_M,81,Russian,OK
TENNIS,PLAYING_STYLE_4_F,82,Russian,OK
TENNIS,PLAYING_STYLE_4_M,83,Russian,OK
TENNIS,PLAYING_STYLE_5_DESC_F,84,Russian,OK
TENNIS,PLAYING_STYLE_5_DESC_M,85,Russian,OK
TENNIS,PLAYING_STYLE_5_F,86,Russian,OK
TENNIS,PLAYING_STYLE_5_M,87,Russian,OK
TENNIS,PLAYING_STYLE_6_DESC_F,88,Russian,OK
TENNIS,PLAYING_STYLE_6_DESC_M,89,Russian,OK
TENNIS,PLAYING_STYLE_6_F,90,Russian,OK
TENNIS,PLAYING_STYLE_6_M,91,Russian,OK
TENNIS,PLAYING_STYLE_7_DESC_F,92,Russian,OK
TENNIS,PLAYING_STYLE_7_DESC_M,93,Russian,OK
TENNIS,PLAYING_STYLE_7_F,94,Russian,OK
TENNIS,PLAYING_STYLE_7_M,95,Russian,OK
TENNIS,PLAYING_STYLE_8_DESC_F,96,Russian,OK
TENNIS,PLAYING_STYLE_8_DESC_M,97,Russian,OK
TENNIS,PLAYING_STYLE_8_F,98,Russian,OK
TENNIS,PLAYING_STYLE_8_M,99,Russian,OK
TENNIS,PLAYING_STYLE_9_DESC_F,100,Russian,OK
TENNIS,PLAYING_STYLE_9_DESC_M,101,Russian,OK
TENNIS,PLAYING_STYLE_9_F,102,Russian,OK
TENNIS,PLAYING_STYLE_9_M,103,Russian,OK
TENNIS,PLY_F,104,Russian,OK
TENNIS,PLY_M,105,Russian,OK
TENNIS,PLYS_F,106,Russian,OK
TENNIS,PLYS_M,107,Russian,OK
TENNIS,QUALIF,108,Russian,OK
TENNIS,QUALIFS,109,Russian,OK
