sheet,key,row_idx,target_lang,status
UI,ABOVE_30,2,Portuguese_BR,OK
UI,ACADEMIES,3,Portuguese_BR,OK
UI,ACADEMY,4,Portuguese_BR,OK
UI,AFTERNOON,5,Portuguese_BR,OK
UI,AGE,6,Portuguese_BR,OK
UI,ALL,7,Portuguese_BR,OK
UI,ALL_AGES,8,Portuguese_BR,OK
UI,APPLY,9,Portuguese_BR,OK
UI,APPLYANDSAVE,10,Portuguese_BR,OK
UI,ASK_REPORT,11,Portuguese_BR,OK
UI,ASSIGNMENTS,12,Portuguese_BR,OK
UI,AUTOSAVE,13,Portuguese_BR,OK
UI,AUTOSAVE_FREQUENCY,14,Portuguese_BR,OK
UI,AUTOSAVE_FREQUENCY_01,15,Portuguese_BR,MISSING_TOKENS
UI,AUTOSAVE_FREQUENCY_02,16,Portuguese_BR,MISSING_TOKENS
UI,AUTOSAVE_FREQUENCY_03,17,Portuguese_BR,MISSING_TOKENS
UI,AUTOSAVE_FREQUENCY_04,18,Portuguese_BR,MISSING_TOKENS
UI,AUTOSAVE_FREQUENCY_05,19,Portuguese_BR,MISSING_TOKENS
UI,AUTOSAVE_FREQUENCY_06,20,Portuguese_BR,MISSING_TOKENS
UI,AUTOSAVE_TYPE,21,Portuguese_BR,OK
UI,AUTOSAVE_TYPE_01,22,Portuguese_BR,MISSING_TOKENS
UI,AUTOSAVE_TYPE_02,23,Portuguese_BR,MISSING_TOKENS
UI,AUTOSAVE_TYPE_03,24,Portuguese_BR,MISSING_TOKENS
UI,AVAILABLE_STAFF,25,Portuguese_BR,OK
UI,CALENDAR,26,Portuguese_BR,OK
UI,CAMERA,27,Portuguese_BR,OK
UI,CAMERA_ZOOM_IN,28,Portuguese_BR,OK
UI,CAMERA_ZOOM_OUT,29,Portuguese_BR,OK
UI,CAMERA_ZOOM_REINIT,30,Portuguese_BR,OK
UI,CANCEL,31,Portuguese_BR,OK
UI,CIRCUIT,32,Portuguese_BR,OK
UI,CIRCUITS,33,Portuguese_BR,OK
UI,CLEAR,34,Portuguese_BR,OK
UI,CONFIRM,35,Portuguese_BR,OK
UI,CONTINENT,36,Portuguese_BR,OK
UI,CONTINUE,37,Portuguese_BR,OK
UI,CONTRACT_UNDERTERMINED,38,Portuguese_BR,OK
UI,COUNTRY,39,Portuguese_BR,OK
UI,CURRENCY,40,Portuguese_BR,OK
UI,CURRENCY_01,41,Portuguese_BR,OK
UI,CURRENCY_02,42,Portuguese_BR,OK
UI,CURRENCY_03,43,Portuguese_BR,OK
UI,CURRENT_WEEK,44,Portuguese_BR,OK
UI,DATE_FORMAT,45,Portuguese_BR,OK
UI,DATE_FORMAT_01,46,Portuguese_BR,OK
UI,DATE_FORMAT_02,47,Portuguese_BR,OK
UI,DAY,48,Portuguese_BR,OK
UI,DAYS,49,Portuguese_BR,OK
UI,DISPLAY_MODE,50,Portuguese_BR,OK
UI,DISPLAY_MODE_02,52,Portuguese_BR,OK
UI,DISPLAY_MODE_03,53,Portuguese_BR,OK
UI,DISPLAY_NOT_AVAILABLE,54,Portuguese_BR,OK
UI,DISTANCE_FORMAT,55,Portuguese_BR,OK
UI,DRAW,56,Portuguese_BR,OK
UI,EVENING,57,Portuguese_BR,OK
UI,FILTERS_ACTIVE,58,Portuguese_BR,OK
UI,FILTERS_ADD,59,Portuguese_BR,OK
UI,FILTER_ALL_COUNTRIES,60,Portuguese_BR,OK
UI,FILTER_ALL_CONTINENTS,61,Portuguese_BR,OK
UI,FINANCE,62,Portuguese_BR,OK
UI,FULLSCREEN,63,Portuguese_BR,OK
UI,GO,64,Portuguese_BR,OK
UI,GRAPHICS_QUALITY,65,Portuguese_BR,OK
UI,API,66,Portuguese_BR,OK
UI,DEFAULT_RES,67,Portuguese_BR,OK
UI,GAMMA,68,Portuguese_BR,OK
UI,GPU,69,Portuguese_BR,OK
UI,GRAPHIC_PRESET,70,Portuguese_BR,OK
UI,GRAPHICS_QUALITY_04,74,Portuguese_BR,OK
UI,GRAPHICS_QUALITY_05,75,Portuguese_BR,OK
UI,GRAPHICS_QUALITY_3D,76,Portuguese_BR,OK
UI,GRAPHICS_QUALITY_3D_04,80,Portuguese_BR,OK
UI,GUI_SECTION_06_03,97,Portuguese_BR,OK
UI,GUI_SECTION_08_04,106,Portuguese_BR,OK
UI,GUI_SECTION_08_05,107,Portuguese_BR,OK
UI,HELP,111,Portuguese_BR,OK
UI,HIGH,112,Portuguese_BR,OK
UI,HOME,113,Portuguese_BR,OK
UI,HOUR_FORMAT,114,Portuguese_BR,OK
UI,INFRASTRUCTURES,117,Portuguese_BR,OK
UI,KEYBD_SC,118,Portuguese_BR,OK
UI,KEYBD_SC_GAME,119,Portuguese_BR,OK
UI,KEYBD_SC_GAME_01,120,Portuguese_BR,OK
UI,KEYBD_SC_GAME_03,122,Portuguese_BR,OK
UI,KEYBD_SC_GAME_05,124,Portuguese_BR,OK
UI,KEYBD_SC_GAME_06,125,Portuguese_BR,OK
UI,KEYBD_SC_MANAGER,128,Portuguese_BR,OK
UI,KEYBD_SC_MATCH,141,Portuguese_BR,OK
UI,KEYBD_SC_UI,152,Portuguese_BR,OK
UI,KEYBD_SC_UI_01,153,Portuguese_BR,OK
UI,KEYBD_SC_UI_02,154,Portuguese_BR,OK
UI,KEYBD_SC_UI_03,155,Portuguese_BR,OK
UI,KEYBD_SC_WORLD,161,Portuguese_BR,OK
UI,KEYBD_SC_WORLD_01,162,Portuguese_BR,OK
UI,KEYBD_SC_WORLD_02,163,Portuguese_BR,OK
UI,KEYBD_SC_WORLD_03,164,Portuguese_BR,OK
UI,LANG,166,Portuguese_BR,OK
UI,LAST_MONTH,173,Portuguese_BR,OK
UI,LAST_RESULTS,174,Portuguese_BR,OK
UI,LAST_WEEK,175,Portuguese_BR,OK
UI,LAST_YEAR,176,Portuguese_BR,OK
UI,LEVEL_X_REQUIERED,177,Portuguese_BR,OK
UI,LIST,178,Portuguese_BR,OK
UI,LOW,179,Portuguese_BR,OK
UI,MAILS,180,Portuguese_BR,OK
UI,MAIN,181,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_03,184,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_04,185,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_05,186,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_07,188,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_08,189,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_09,190,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_09_INFO,191,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_10,192,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_11,193,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_12,194,Portuguese_BR,OK
UI,MAIN_BTN_ACTION_13,195,Portuguese_BR,OK
UI,MANAGER,197,Portuguese_BR,OK
UI,ENABLE_SOUND,198,Portuguese_BR,OK
UI,MEDICAL_CENTER,199,Portuguese_BR,OK
UI,MEDIUM,200,Portuguese_BR,OK
UI,MONTH,201,Portuguese_BR,OK
UI,MONTHS,202,Portuguese_BR,OK
UI,MORNING,203,Portuguese_BR,OK
UI,MOVE,204,Portuguese_BR,OK
UI,NEWCOMERS,205,Portuguese_BR,OK
UI,NEWS,206,Portuguese_BR,OK
UI,NEXT_WEEK,207,Portuguese_BR,OK
UI,NEXT_WEEK_2,208,Portuguese_BR,OK
UI,NEXT_WEEK_3,209,Portuguese_BR,OK
UI,NOT_SCHEDULED,211,Portuguese_BR,OK
UI,NUMBER_FORMAT,212,Portuguese_BR,OK
UI,OBJECTIVES,213,Portuguese_BR,OK
UI,OK,214,Portuguese_BR,OK
UI,OPTIONS,215,Portuguese_BR,OK
UI,OPTIONS_MENU_00,217,Portuguese_BR,OK
UI,OPTIONS_MENU_05,222,Portuguese_BR,OK
UI,PAUSE,225,Portuguese_BR,OK
UI,PLAY,226,Portuguese_BR,OK
UI,PLAYER,227,Portuguese_BR,OK
UI,PLAYERS,228,Portuguese_BR,OK
UI,POINTS,229,Portuguese_BR,OK
UI,POINTS_SHORT,230,Portuguese_BR,OK
UI,PRIZEMONEY,231,Portuguese_BR,OK
UI,PROFIL,232,Portuguese_BR,OK
UI,QUIT_CURRENT_GAME,233,Portuguese_BR,OK
UI,QUIT_GAME,234,Portuguese_BR,OK
UI,RANK,236,Portuguese_BR,OK
UI,RANKING,237,Portuguese_BR,OK
UI,RANKING_COLUMN_NEXT_BEST,238,Portuguese_BR,OK
UI,RANKING_COLUMN_PTS_DROPPING,239,Portuguese_BR,OK
UI,RANKING_COLUMN_TNMT_PLAYED,240,Portuguese_BR,OK
UI,RECORDS,241,Portuguese_BR,OK
UI,RECRUITMENT,242,Portuguese_BR,OK
UI,RESET,243,Portuguese_BR,OK
UI,RESOLUTION,244,Portuguese_BR,OK
UI,ROUND,245,Portuguese_BR,OK
UI,ROUNDS,246,Portuguese_BR,OK
UI,SAVE,247,Portuguese_BR,OK
UI,SAVES,248,Portuguese_BR,OK
UI,SETTINGS,249,Portuguese_BR,OK
UI,SETTINGS_BTN_02,251,Portuguese_BR,OK
UI,SETTINGS_TAB_01,252,Portuguese_BR,OK
UI,SETTINGS_TAB_02,253,Portuguese_BR,OK
UI,SIMULATION_QUALITY,255,Portuguese_BR,OK
UI,GRAPHICS_QUALITY_AA,256,Portuguese_BR,OK
UI,GRAPHICS_QUALITY_AA_01,257,Portuguese_BR,OK
UI,GRAPHICS_QUALITY_AA_02,258,Portuguese_BR,OK
UI,SPEED_FAST,259,Portuguese_BR,OK
UI,SPEED_MEDIUM,260,Portuguese_BR,OK
UI,SPEED_SLOW,261,Portuguese_BR,OK
UI,STAFF,262,Portuguese_BR,OK
UI,TEAM,263,Portuguese_BR,OK
UI,TENNIS_SCHOOL,264,Portuguese_BR,OK
UI,TNMT_CALENDAR,265,Portuguese_BR,OK
UI,TO_LOAD,266,Portuguese_BR,OK
